"Order UTM medium","Order UTM campaign","Orders","Total sales","Gross sales","Net sales","Average order value","Orders (previous_period)","Total sales (previous_period)","Gross sales (previous_period)","Net sales (previous_period)","Average order value (previous_period)","Orders (previous_period) ","Total sales (previous_period) ","Gross sales (previous_period) ","Net sales (previous_period) ","Average order value (previous_period) "
"Search","Search_Exact_BrandCore",1571,3973577.34,3960142.45,3851898.48,2451.876,1331,3362958.77,3356789.43,3266718.19,2454.333,18.031555221637866,18.157,17.974,17.913,-0.1
"Shopping","Shopping_Catch_All",1932,3568079.33,3562427.22,3460312.24,1791.051,1783,3191232.64,3172893.29,3089887.15,1732.97,8.356702187324734,11.808,12.276,11.988,3.351
,"Pmax_Dog_Winter_collection",867,2040213.65,2034709.6,1980430.65,2284.233,778,1851722.69,1842739.72,1794282.45,2306.275,11.439588688946015,10.179,10.417,10.374,-0.955
,"Pmax_Sara's_New_Customer",355,818572.64,822959.2,799672.26,2252.597,162,373452.99,370215.78,359727.77,2220.541,119.1358024691358,119.19,122.291,122.299,1.443
,"search_dog_winter_collection",293,582552.04,585543.83,565323.22,1929.43,269,526441.23,530111.8,512590.97,1905.542,8.921933085501859,10.658,10.456,10.287,1.253
"PMax","Pmax_Dog_Treats_Other",191,426581.61,428033.23,416489.55,2180.573,186,457822.4,456318.92,444004.39,2387.12,2.6881720430107525,-6.823,-6.198,-6.196,-8.652
"Pmax","Pmax_Dog_Food_Cat_Food_Other_Orijen",159,365280.78,363803.42,354045.36,2226.7,115,321879.53,322664.69,313798.75,2728.684,38.26086956521739,13.483,12.749,12.825,-18.396
"Search","Search_Royal_Canin_Dog_Food_Cat_Food",108,347399.67,347804.2,337457.91,3124.61,71,247158.07,251757.82,243636.76,3431.503,52.11267605633803,40.557,38.15,38.508,-8.943
"Pmax","Pmax_Dog_Food_Other_Acana",127,293598.81,291774.04,284111.3,2237.096,153,308769.64,308979.99,299614.3,1958.263,-16.99346405228758,-4.913,-5.568,-5.174,14.238
"PMax","Pmax_Cat_Food_Other_Sheba_Whiskas",179,284355.81,287807.93,277338.47,1549.376,57,105355.13,108411.28,103965.57,1823.957,214.03508771929825,169.902,165.477,166.759,-15.054
"PMax","PMax_Dog_Food_Cat_Food_Other_Royal_Canin",101,264264.23,266736.14,258159.1,2556.03,45,142688.73,143192.21,139110.9,3091.353,124.44444444444444,85.203,86.278,85.577,-17.316
"PMax","Pmax_Dog_Food_Sara's_Wholesome_Food_SWF",98,252142.19,249023.32,244955.61,2499.547,97,176887.75,175395.92,170103.22,1753.641,1.0309278350515463,42.543,41.977,44.004,42.534
"Search","Search_Dog_Treats_HUFT_And_Sara's",123,227352.07,224893.04,219187.81,1782.014,34,76118.43,75944.39,74074.38,2178.658,261.7647058823529,198.682,196.128,195.902,-18.205
"PMax","Pmax_Dog_Treat_Sara's_and_HUFT",212,224116.3,218916.15,212944.55,1004.455,59,52209.3,50745.69,49126.94,832.66,259.3220338983051,329.265,331.398,333.457,20.632
"Search","Search_All_Competitors",94,217169.97,216696.74,212465.71,2260.273,94,256510.29,256080.99,249386.01,2653.042,0,-15.336,-15.379,-14.804,-14.804
"PMax","PMax_Dog_Food_Other_Brands",73,215017.15,216798.49,211245.6,2893.775,66,157787.1,158064.94,153265.86,2322.21,10.606060606060606,36.27,37.157,37.829,24.612
"PMax","Pmax_Beds_and_Mat",57,196941.47,196847.9,191529.17,3360.16,63,249568.62,248784.39,241638.37,3835.529,-9.523809523809524,-21.087,-20.876,-20.737,-12.393
"Search","Search__Farmina_Dog_Food_Cat_Food_Other",54,191648.88,197044.22,190204.81,3522.311,21,72138.14,73769.22,71584.15,3408.769,157.14285714285714,165.669,167.108,165.707,3.33
"Search","Search_Dog_Food_Hearty",51,171601.91,173083.5,168504.97,3304.019,31,88300.74,87829.72,85523.01,2758.806,64.51612903225806,94.338,97.067,97.028,19.762
"Search","Search_Dog_Food_Sara_Wholesome_Food",73,170570.25,171464.71,167172.63,2290.036,51,106178.69,106608.68,102943.42,2018.498,43.13725490196079,60.644,60.835,62.392,13.452
"Search","Search_Cat_Food_Other_Sheba",33,143059.35,146088.09,142429.12,4316.033,17,40045.39,40594.78,38854.53,2285.56,94.11764705882354,257.242,259.869,266.57,88.839
"Search","Search_Dog_Food_Other_Generic",45,140886.43,143678.18,140293.32,3117.629,25,100015.95,100144.78,97608.55,3904.342,80,40.863,43.47,43.73,-20.149
"PMax","Pmax_Master_Catalog_Healthcare",58,128794.17,127782.81,123897.63,2136.166,82,165788.38,162651.01,158028.53,1927.177,-29.26829268292683,-22.314,-21.437,-21.597,10.844
"PMax","PMax_HUFT_Treats_Biscuits",109,110379.95,107952.44,104403.5,957.83,27,31464.57,31054.82,30527.04,1130.631,303.7037037037037,250.807,247.618,242.003,-15.283
"PMax","PMax_Collar_Leash_Harness",62,107311.59,107517.77,104066.37,1678.489,180,314554.77,309695.27,303354.17,1685.3,-65.55555555555556,-65.884,-65.282,-65.694,-0.404
"Search","Search_Dog_Treats_HUFT_Biscuits",49,106028.21,107501.5,104322.14,2129.023,51,72378.2,72153.34,69830.19,1369.219,-3.9215686274509802,46.491,48.99,49.394,55.491
"PMax","PMax_Cat_Food_Meowsi",46,104905.91,104287.3,101283.56,2201.816,62,99760.91,99994.93,96221.6,1551.961,-25.806451612903224,5.157,4.292,5.26,41.873
,"Pmax_Nutrimeow",63,98831.44,97829.84,95392.3,1514.163,4,2975.18,2709.48,2695.76,673.94,1475,3221.864,3510.65,3438.605,124.673
"PMax","PMax_Collar_Leash_Harness_DashDog",37,97839.85,98703.72,96075.46,2596.634,66,162943.21,161055.11,157785.64,2390.691,-43.93939393939394,-39.954,-38.714,-39.11,8.614
"Search","Search_Cat_Food_Treat_Meowsi",43,97355.25,97361.96,95190.28,2213.727,27,61023.07,60463.7,58467.9,2165.477,59.25925925925926,59.538,61.025,62.807,2.228
"Search","Search_Cat_Food_Other_Generic",46,76681.46,75281.65,73982.25,1608.309,18,27080.75,26174.6,25500.2,1416.677,155.55555555555554,183.158,187.613,190.124,13.526
"Search","Search_Cat_Food_Other_Whiskas",46,69911.75,71592.64,69027.92,1500.606,17,31075.3,32300.29,30812.69,1812.511,170.58823529411765,124.975,121.647,124.024,-17.208
"Search","Search_Dog_Food_Other_Pedigree",33,67681.89,69127.24,66494.12,2014.973,12,35663.4,36449.19,35135.98,2927.998,175,89.779,89.653,89.247,-31.182
"Search","Search_Dog_Food_Other_Brands",20,65013.22,66074.64,64707.01,3235.35,21,103871.25,106348.48,103695.46,4937.879,-4.761904761904762,-37.409,-37.869,-37.598,-34.478
"Search","Search_Dog_Collar_Leash_Harness",28,60521.56,61366.41,59432.68,2122.595,41,74451.14,73999.44,72307.55,1763.598,-31.70731707317073,-18.709,-17.071,-17.805,20.355
"PMax","Pmax_Dog_Food_Cat_Food_Other_Farmina",26,55792.83,56613.48,54763.65,2106.294,10,35425.64,36146.6,35327.64,3532.764,160,57.492,56.621,55.016,-40.378
"Search","Search_DSA",24,39388.98,39171.59,37896.37,1579.015,52,89808.51,87006.37,84668.38,1628.238,-53.84615384615385,-56.141,-54.978,-55.241,-3.023
"PMax","Pmax_Grooming_Dog_Cat",29,37752,36493.85,36003.68,1241.506,32,39547.9,38996.53,37879.33,1183.729,-9.375,-4.541,-6.417,-4.951,4.88
"PMax","PMax_Cat_Food_Other",25,31514.5,31218.47,30875.69,1235.027,14,15862.38,15389.17,15321.01,1094.357,78.57142857142857,98.674,102.859,101.525,12.854
