"Order UTM medium","Order UTM campaign","Orders","Total sales","Gross sales","Net sales","Average order value","Orders (previous_month)","Total sales (previous_month)","Gross sales (previous_month)","Net sales (previous_month)","Average order value (previous_month)","Orders (previous_month) ","Total sales (previous_month) ","Gross sales (previous_month) ","Net sales (previous_month) ","Average order value (previous_month) "
"Search","Search_Exact_BrandCore",1250,2930874.89,2928730.88,2857452.36,2285.961,1789,4069375.84,4058729.95,3956654.37,2211.656,-30.128563443264394,-27.977,-27.841,-27.781,3.359
"Shopping","Shopping_Catch_All",1286,2523041.23,2501544.93,2441829.56,1898.778,1701,3137351.45,3118575.45,3040989.36,1787.765,-24.397413286302175,-19.58,-19.785,-19.702,6.209
,"Pmax_Sara's_New_Customer",222,521241.02,517904.52,507131.7,2284.377,281,618286.97,613410.46,598893.64,2131.294,-20.99644128113879,-15.695,-15.569,-15.321,7.182
"PMax","Pmax_Dog_Treat_Sara's_and_HUFT",322,399801.61,387178.18,379662.9,1179.077,207,216915.28,212373.64,207089.56,1000.432,55.55555555555556,84.312,82.309,83.332,17.856
"Pmax","Pmax_Dog_Food_Cat_Food_Other_Orijen",152,376271.84,375881.62,367229.77,2415.985,176,398724.1,394356.8,385058.64,2187.833,-13.636363636363637,-5.631,-4.684,-4.63,10.428
"Search","Search_Dog_Treats_HUFT_And_Sara's",170,333597.8,330552.09,324099.24,1906.466,147,257753.7,255970.09,249977.02,1700.523,15.646258503401361,29.425,29.136,29.651,12.11
"Pmax","Pmax_Dog_Food_Other_Acana",146,323852.82,326114.07,317007.78,2171.286,144,419528.41,421340.05,409699.22,2845.133,1.3888888888888888,-22.805,-22.6,-22.624,-23.684
"Search","Search_Royal_Canin_Dog_Food_Cat_Food",84,322423.19,322926.43,315959.68,3761.424,58,166928.13,166674.33,161752.8,2788.841,44.827586206896555,93.15,93.746,95.334,34.874
"PMax","PMax_Dog_Food_Other_Brands",94,247898.62,246382.71,240447.2,2557.948,96,270691.46,269659.64,264587.84,2756.123,-2.0833333333333335,-8.42,-8.631,-9.123,-7.19
"Search","Search__Farmina_Dog_Food_Cat_Food_Other",54,182183.09,185738.28,179190.52,3318.342,60,189431.72,189015.87,182064.61,3034.41,-10,-3.826,-1.734,-1.578,9.357
"Search","Search_All_Competitors",72,154100.36,153332.8,150359.41,2088.325,66,161851.2,161644.12,157759.1,2390.289,9.090909090909092,-4.788,-5.141,-4.69,-12.632
"PMax","Pmax_Cat_Food_Other_Sheba_Whiskas",88,149807.36,151504.8,146234.48,1661.755,101,158764.58,161071.23,155306.6,1537.689,-12.871287128712872,-5.641,-5.939,-5.841,8.068
"PMax","PMax_Dog_Food_Cat_Food_Other_Royal_Canin",68,141354.66,143080.92,138765.16,2040.664,83,235628.61,238450.93,232944.31,2806.557,-18.072289156626507,-40.009,-39.995,-40.429,-27.289
"Search","Search_Dog_Food_Hearty",46,138239.37,138939.83,135081.89,2936.562,60,158394.03,159398.17,155748.7,2595.811,-23.333333333333332,-12.724,-12.834,-13.269,13.126
"Search","Search_Dog_Food_Sara_Wholesome_Food",61,133340.07,132873.48,130314.12,2136.297,40,65758.02,65073.92,64095.18,1602.379,52.5,102.773,104.188,103.313,33.32
"PMax","PMax_HUFT_Treats_Biscuits",70,131510.87,130907.6,128680.28,1838.289,70,103746.15,103029.95,100066.2,1429.517,0,26.762,27.057,28.595,28.595
"PMax","Pmax_Dog_Food_Sara's_Wholesome_Food_SWF",63,99868.9,99365.99,97209.44,1543.006,59,118388.24,120894.37,116395.84,1972.81,6.779661016949152,-15.642,-17.807,-16.483,-21.786
"Search","Search_Dog_Treats_HUFT_Biscuits",58,97236.11,96914.66,94224.14,1624.554,49,76676.03,76412.84,74357.2,1517.493,18.367346938775512,26.814,26.83,26.718,7.055
"Search","Search_Dog_Food_Other_Generic",34,83237.71,83540.69,82041.69,2412.99,30,88740.97,89180.51,87181.82,2906.06,13.333333333333334,-6.201,-6.324,-5.895,-16.966
"Search","Search_Cat_Food_Other_Whiskas",50,75652.23,76433.23,74420.62,1488.412,43,82627.8,83342.87,81131.52,1886.779,16.27906976744186,-8.442,-8.29,-8.271,-21.113
"PMax","Pmax_Dog_Food_Cat_Food_Other_Farmina",21,55348.9,55332.68,53336.96,2539.855,17,59451.85,61440.51,59088.45,3475.791,23.529411764705884,-6.901,-9.941,-9.733,-26.927
"Search","Search_Cat_Food_Other_Generic",28,52378.32,52004.87,50792.33,1814.011,33,78165.66,78447.03,76037.65,2304.171,-15.151515151515152,-32.99,-33.707,-33.201,-21.272
"PMax","PMax_Cat_Food_Meowsi",20,49670.28,49930.97,49380.97,2469.048,20,21376.97,20422.25,19921.89,996.094,0,132.354,144.492,147.872,147.872
,"Pmax_Nutrimeow",25,43622.99,43418.97,42241.04,1689.641,33,64071.29,63299.82,61439,1861.787,-24.242424242424242,-31.914,-31.407,-31.247,-9.246
"PMax","Pmax_Hearty_Dog_Food",22,39385.14,39167.2,37791.98,1717.817,4,6555.84,6506.84,6506.84,1626.71,450,500.764,501.938,480.803,5.6
"Search","Search_Cat_Food_Other_Sheba",11,34681.7,35674.57,34447.46,3131.587,23,64524.7,64416.36,62003.53,2695.805,-52.17391304347826,-46.25,-44.618,-44.442,16.165
"Search","Search_Dog_Collar_Leash_Harness",19,33815.77,33664.3,33145.37,1744.493,9,16057.9,16420.02,15820.02,1757.78,111.11111111111111,110.586,105.019,109.515,-0.755
"Search","Search_Cat_Food_Treat_Meowsi",14,29309.72,29491.71,28687.68,2049.12,29,100448.05,98726.76,97695.54,3368.811,-51.724137931034484,-70.821,-70.127,-70.635,-39.173
"Search","Search_Dog_Food_Other_Pedigree",15,28670.2,28092.47,27611.56,1840.77,26,49741.98,50621.37,48889.81,1880.377,-42.30769230769231,-42.362,-44.504,-43.522,-2.106
"Search","Search_Dog_Collar-Leash-Harness",13,15379.25,14904.5,14806.84,1138.987,11,11728.7,11891.02,11591.02,1053.729,18.181818181818183,31.124,25.342,27.744,8.091
"PMax","PMax_Cat_Food_Other",11,12305.73,12484.9,11984.9,1089.536,10,10196,10075.1,9787.51,978.751,10,20.691,23.918,22.45,11.319
"PMax","PMax_HUFT_Treat_Biscuits",2,11220.32,11620.32,11220.32,5610.16,1,3406.8,3556.8,3406.8,3406.8,100,229.35,226.707,229.35,64.675
,"Pmax_Dog_Winter_collection",1,7649,7246.78,7017.43,7017.43,60,119104.16,118655.05,115638.67,1927.311,-98.33333333333333,-93.577,-93.892,-93.931,264.104
,"Pmax_EOSS_Jan_2026",2,5031.12,4707.44,4615.7,2307.85,421,847210.85,841161.24,822375.1,1953.385,-99.5249406175772,-99.406,-99.44,-99.438,18.146
"PMax","Pmax_Cat_Food",1,4550,3961.86,3855.93,3855.93,1,4550,3961.86,3855.93,3855.93,0,0,0,0,0
"PMax","Pmax_Master_Catalog",2,2444,2395,2395,1197.5,0,0,0,0,,,,,,
"Search","search_Local_Ads_Store_promotion_Delhi",2,2237,2188,2188,1094,0,0,0,0,,,,,,
,"search_Local_Ads_Store_promotion_Bangalore",1,1499,1375.23,1375.23,1375.23,0,0,0,0,,,,,,
