"Order UTM campaign","Order UTM content","Order UTM medium","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales"
"DTC_Yakies_Manual","DTC_Yakies_Video_YakiesCompilation_Oct28","DTC_Yakies_DogDental",677,219338.67,-14466.64,0,204872.03,30478,0,0,2808.31,238158.34
"DTC_Winter'25_Conv","DTC_Winter'25_Static_BlueSweater_Oct15","DTC_Winter'25_Lifestyle",264,480534.78,-22953.32,0,457581.46,294,0,0,12280.36,470155.82
"Social_Bio","Social_IG_sales","Social",229,393943.78,-13562.95,0,380380.83,2058,0,0,12192.94,394631.77
"DTC_Winter'25_Conv","DTC_Winter'25_Video_Hershey-PinkSweater_Nov18","DTC_Winter'25_Lifestyle",192,335733.3,-15074.73,0,320658.57,735,0,0,8685.41,330078.98
"DTC_YIMT_Conv_PP","DTC_YIMT_Video_PumpkinMeetsCarrot_Nov19","DTC_YIMT_Conv_Dog-In_PP",156,69475.66,-4506.15,0,64969.51,6566,0,0,1394.11,72929.62
"DTC_Meowsi_Conv","DTC_Meowsi_Video_WinterPoblems_Dec11","DTC_Meowsi_CatInt",138,29371.02,-158.07,0,29212.95,6419,0,0,730.97,36362.92
"DTC_SWF_Conv","DTC_SWF_Video_KhushbooGharJaisi_Nov21","DTC_SWF_Conv_478cities",110,93001.29,-3728.47,0,89272.82,3675,0,0,2695.48,95643.3
"DTC_HUFTGourmetToys_Conv","DTC_HUFTToys_Video_X'MasToys_Dec11","DTC_HUFTGourmetToys_PetToys",96,122380.86,-3003.53,0,119377.33,1666,0,0,1912.13,122955.46
"DTC_HUFT_OutletSale","DTC_HUFTOutletSale_Catalogue_Oct08","DTC_HUFTOutletSale_Pet",92,79628.45,-2083.66,0,77544.79,2499,0,0,2144.54,82188.33
"DTC_SWF_Conv","DTC_SWF_Video_Hairfall_Nov10","DTC_SWF_Conv_TopSWFCities",80,28360.19,-1326.72,0,27033.47,3430,0,0,205.24,30668.71
"{{campaign.name}}","{{ad.name}}","{{adset.name}}",59,53913.71,-3269.64,0,50644.07,1372,0,0,1186.47,53202.54
"DTC_Winter'25_Conv","DTC_Winter'25_Static_Sweater-WearACuddle_Oct24","DTC_Winter'25_LifestyleCustomer",59,95250.24,-5204.5,0,90045.74,392,0,0,2280.89,92718.63
"DTC_Remarketing_catalog_PV","DTC_Retargeting_CustomCatalogue_PV30_Apr24","DTC_Retargeting_CustomCatalogue_NewPV_30Days",55,122469.48,-4285.65,0,118183.83,784,0,0,1866.82,120834.65
"DTC_YIMT_Conv_PP","DTC_YIMT_Video-GotMyEyesOnThePrice_Dec08","DTC_YIMT_Conv_Dog-In_PP",47,22797.76,-638.29,0,22159.47,2009,0,0,401.57,24570.04
"DTC_Winter'25_Conv","DTC_Winter'25_Static_SweaterWeatherMadeSweeter_Oct31","DTC_Winter'25_Lifestyle",46,83037.89,-2984.85,0,80053.04,49,0,0,2161.73,82263.77
"DTC_Winter'25_Conv","DTC_Winter'25_Static_Sweatshirts-LayerLight_Oct24","DTC_Winter'25_Lifestyle",43,72890.68,-3697.01,0,69193.67,98,0,0,2317.2,71608.87
"DTC_Hearty_Conv_Manual","DTC_HeartyK_Video_KyaAapkeKibbleMein_Oct05","DTC_Hearty_Conv_DogHealth",39,49407.48,-737.79,0,48669.69,1078,0,0,141.87,49889.56
"DTC_Winter'25_Conv","DTC_Winter'25_Video_SoftJackets_Dec12","DTC_Winter'25_Lifestyle",38,72468.21,-5068.28,0,67399.93,49,0,0,2162.82,69611.75
"DTC_Meowsi_Conv","DTC_Meowsi_Video_TaurineFtNishad_Dec08","DTC_Meowsi_CatInt – Copy",37,19576.18,-1017.06,0,18559.12,1323,0,0,96.51,19978.63
"DTC_Sara.Treats_Conv_May'24","DTC_Sara.Treat_Catalogue_May05","DTC_SaraTreats_Travel&Dog",32,41835.68,-958.65,0,40877.03,588,0,0,866.3,42331.33
"DTC_Hearty_Conv_Manual","DTC_HeartyK_Video_SamPoppins_Nov13","DTC_Hearty_NewNonFoodAud",29,69024.52,-3186.6,0,65837.92,294,0,0,880.03,67011.95
