"Product title at time of sale","Product variant title at time of sale","Orders","Net items sold","Total sales","Discounts","Average order value","New customers"
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 1",91,151,13943.25,-253.99,149.394,63
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 1",19,36,4356.66,-55.14,229.297,9
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 1",21,35,4225.18,-64.07,199.827,10
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 1",18,27,2451.36,-87.99,134.957,12
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 1",17,18,4831.67,-281.23,284.215,10
"Sara's Wholesome Classic Paneer & Veggies Dog Food - 300 gm","Pack Of 1",12,16,4459.5,-85.3,366.06,4
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 7",15,16,9925.01,-275.95,645.19,7
"Sara's Wholesome Grain-Free Dog Food Combo - 2x100 gm",,3,13,3007.48,-11.12,1002.493,0
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 21",11,13,22967.87,-785.44,2051.65,2
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","300 g / Pack Of 1",7,11,2783.75,-340.8,397.678,3
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 14",10,10,11874.22,-599.78,1187.422,3
"Sara's Wholesome Food Mutton Biryani - Flavours of India - 300 g","Pack of 1",8,9,2719.19,-93.76,339.898,2
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 7",6,8,6147.64,-498.44,1024.606,1
"Sara's Wholesome Flavours Of India Vegetable Biryani Dog Wet Food - 300 gm","Pack Of 1",6,8,2229.8,-42.6,367.723,1
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 7",7,7,5267.02,-548.3,752.431,1
"Sara's Wholesome Hypoallergenic Diet Duck & Quinoa Dog Wet Food - 300 g","Pack Of 1",6,7,2475.99,-110.86,407.58,0
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 7",7,7,13328.92,-150,1881.418,2
"Sara's Wholesome Classic Chicken & Brown Rice and Grain-Free Turkey Combo Dog Food - 2x100 gm",,6,6,1200.42,-30.78,197.246,0
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 4",4,4,1488.96,0,364.555,2
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 8",3,4,2914.56,0,971.52,0
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","300 g / Pack Of 1",3,4,1367.34,-110.86,455.78,0
"Sara's Wholesome Food Mutton Biryani - Flavours of India - 300 g","Pack of 7",3,3,6250.35,-97.18,2028.05,0
"Sara's Wholesome Biryani Dog Food - Flavours of India - (2 x 300 g)",,3,3,1610.82,-84.78,536.94,1
"Sara's Wholesome Food: All-in-One - 6x300 gm",,2,3,5158.74,-310.17,2451.19,1
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 14",3,3,4569.14,-301.83,1480.05,0
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 21",3,3,6794.18,-357.58,2264.726,1
"Sara's Wholesome Grain-Free Chicken & Veggies Dog Food - 300 gm","Pack Of 1",3,3,890.77,-46.88,296.923,0
"Sara's Wholesome Food Classic Chicken & Brown Rice and Grain-Free Chicken & Turkey Combo - 2x300 gm",,1,3,1578.96,-278.64,1578.96,0
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","300 g / Pack Of 1",1,2,628.24,-110.86,628.24,0
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 21",2,2,4648.65,-109.34,2230.83,1
"Sara's Wholesome Classic Range Dog Food Combo - 2x300 gm",,1,1,538.2,0,538.2,1
"Sara's Wholesome Hypoallergenic Diet Duck & Quinoa Dog Wet Food - 300 g","Pack Of 21",1,1,6469.85,-609.21,5482.92,0
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","300 g / Pack Of 21",1,1,6829.29,-329.75,6265.4,0
"Sara's Wholesome Classic Paneer & Veggies Dog Food - 300 gm","Pack Of 14",1,1,3767.4,0,3192.71,0
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","300 g / Pack Of 21",1,1,4972.97,-468.26,4214.38,0
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 14",1,1,1381.59,-243.81,1381.59,0
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 14",1,1,1060.29,-187.11,1060.29,0
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 21",1,1,5275.52,-211.86,4470.78,0
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","300 g / Pack Of 7",1,1,2505.16,0,2505.16,0
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","300 g / Pack Of 21",1,1,6938.72,-250,6938.72,0
