"Product title at time of sale","Product variant title at time of sale","Orders","Net items sold","Total sales","Discounts","Average order value","New customers"
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 1",127,211,19297.95,-544.49,148.594,85
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 1",59,83,10021.88,-148.55,167.929,29
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 1",23,41,4886.02,-138.53,211.623,6
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 1",25,40,10798.98,-561.61,426.673,12
"Sara's Wholesome Food Mutton Biryani - Flavours of India - 300 g","Pack of 1",24,31,9414.07,-261.62,381.8,11
"Sara's Wholesome Classic Paneer & Veggies Dog Food - 300 gm","Pack Of 1",23,29,7987.81,-246.82,342.63,11
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 1",21,25,2243.75,-107.5,103.372,11
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 7",21,22,13739.43,-286.89,635.733,4
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","300 g / Pack Of 1",16,20,5553.2,-127.8,345.609,12
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 21",13,16,27858.48,-1390.95,2080.316,5
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 14",12,12,14407.47,-545.88,1184.743,3
"Sara's Wholesome Hypoallergenic Diet Duck & Quinoa Dog Wet Food - 300 g","Pack Of 1",9,12,4249.84,-184.76,465.424,2
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","300 g / Pack Of 1",11,12,4342.22,-92.38,386.849,5
"Sara's Wholesome Biryani Dog Food - Flavours of India - (2 x 300 g)",,8,11,6132.42,-84.78,755.775,3
"Sara's Wholesome Grain-Free Chicken & Veggies Dog Food - 300 gm","Pack Of 1",11,11,3377.57,-60.48,302.717,5
"Sara's Wholesome Flavours Of India Vegetable Biryani Dog Wet Food - 300 gm","Pack Of 1",6,8,2154.8,-117.6,351.911,2
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 21",7,7,15853.09,-834.35,2264.727,2
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","300 g / Pack Of 1",4,7,2489.74,-97.11,622.435,1
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 7",7,7,5645.5,-162.92,779.582,3
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 14",5,5,7733.19,-393.81,1546.638,1
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 8",4,4,2586.69,-327.87,646.672,0
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","300 g / Pack Of 7",4,4,6869.79,-792.61,1614.227,1
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 14",4,4,6501.6,0,1625.4,0
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food - (7 x 300g)",,3,3,6948.3,-365.7,2316.1,0
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 7",3,3,5549.77,-226.91,1849.923,2
"Sara's Wholesome Grain-Free Dog Food Combo - 2x300 gm",,3,3,2030.58,-70.02,676.86,0
"Sara's Wholesome Food: All-in-One - 6x300 gm",,3,3,5341.8,-127.11,1695.146,2
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 21",3,3,5082.52,-393.65,1647.946,2
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 4",3,3,1060.89,-55.83,353.63,3
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food - (10 x 100g)",,1,2,2250,0,2250,0
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","300 g / Pack Of 14",2,2,9067.59,-735.21,4533.795,0
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 14",2,2,6969.69,-478.9,3240.6,0
"Sara's Wholesome Food Mutton Biryani - Flavours of India - 300 g","Pack of 7",2,2,3919.71,-317.81,1959.855,0
"Sara's Wholesome Classic Chicken & Brown Rice and Grain-Free Turkey Combo Dog Food - 2x100 gm",,2,2,379.62,-30.78,189.81,2
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 21",2,2,10498.49,-468.26,4869.95,1
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 7",2,2,1412.3,-249.22,706.15,0
"Sara's Wholesome Classic Range Dog Food Combo - 2x300 gm",,1,1,538.2,0,493.76,0
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","300 g / Pack Of 7",1,1,2355.16,-137.61,2160.7,1
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 14",1,1,1247.4,0,1247.4,0
"Sara's Wholesome Flavours Of India Vegetable Biryani Dog Wet Food - 300 gm","Pack Of 7",1,1,1775.56,-137.61,1628.95,1
"Sara's Wholesome Classic Paneer & Veggies Dog Food - 300 gm","Pack Of 7",1,1,1636.73,-288.83,1636.73,1
"Sara's Wholesome Food Mutton Biryani - Flavours of India - 300 g","Pack of 21",1,1,5966.28,-113.64,5966.28,0
"Sara's Wholesome Grain-Free Dog Food Combo - 2x100 gm",,1,1,232.2,0,232.2,0
"Sara's Wholesome Grain-Free Chicken & Veggies Dog Food - 300 gm","Pack Of 14",1,1,3730.86,-414.54,3730.86,0
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","300 g / Pack Of 21",1,1,5275.52,-250,5275.52,1
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","300 g / Pack Of 21",1,1,6938.72,-250,6938.72,0
"Sara's Wholesome Grain-Free Chicken & Veggies Dog Food - 300 gm","Pack Of 21",1,1,6079.92,0,6079.92,1
"Sara's Wholesome Food Combo For Dogs - 4x300 gm",,1,1,1075.59,-189.81,1075.59,0
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 21",1,1,2233.92,-137.61,2049.47,1
"Sara's Wholesome Food Classic Chicken & Brown Rice and Grain-Free Chicken & Turkey Combo - 2x300 gm",,1,1,619.2,0,619.2,0
