"Product title at time of sale","Product variant title at time of sale","Orders","Net items sold","Total sales","Discounts","Average order value","New customers"
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 1",111,169,15878.7,-677.2,141.417,75
"Sara's Wholesome Food Chicken Biryani - Flavours of India","100 g / Pack of 1",34,42,5282.55,-135.45,154.477,23
"Sara's Wholesome Chicken & Brown Rice Puppy Food – 100 gm | Human Grade, All-Natural, Preservative-Free, Ready-to-Eat Meal for Puppies (4 Weeks & Above)","Pack Of 1",21,30,2709.15,-243.03,126.153,14
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 21",12,20,34594.61,-1060.24,2860.42,1
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 5",20,20,9263.94,-135.23,446.904,10
"Sara's Wholesome Grain-Free Chicken and Turkey Dog Food – All Natural, Ready to Eat Meals for Dogs – Human-Grade, Preservative-Free","100 g / Pack Of 1",10,15,1896.3,-38.7,188.565,4
"Sara's Wholesome Grain-Free Lamb and Apple Dog Food – All Natural, Ready to Eat Meals for Dogs – Human-Grade, Preservative-Free","100 g / Pack Of 1",7,11,1380.3,-37.1,192.85,3
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 10",11,11,9132.75,-668.25,817.894,2
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 7",11,11,6672.91,-277.08,597.863,4
"Sara's Wholesome Flavours of India Vegetable Biryani Wet Dog Food, 100% Vegetarian, Human-Grade Ingredients – Preservative-Free, Farm-Fresh","100 gm / Pack Of 1",6,11,1029.6,-59.4,171.6,5
"Sara's Wholesome Classic Paneer & Veggies Ready-to-Eat Vegetarian Dog Food – Human-Grade, Preservative-Free – 300 gm","Pack Of 1",9,11,3214.25,-41.14,354.806,5
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 1",7,9,837.22,-9.23,119.602,3
"Sara's Wholesome Food Mutton Biryani for Dogs – Flavours of India – Human-Grade","100 gm / Pack of 1",8,8,1032,0,129,5
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 1",5,8,2170,-132.3,425.334,2
"Sara's Wholesome Biryani Dog Food - Flavours of India - (2 x 300 g)",,6,8,4493.34,-28.26,741.111,2
"Sara's Wholesome Food Chicken Biryani - Flavours of India","300 g / Pack of 1",5,7,1913.6,-179.4,382.72,4
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 1",6,7,784.25,-82.09,126.551,2
"Sara's Wholesome Classic Paneer & Veggies Ready-to-Eat Vegetarian Dog Food – Human-Grade, Preservative-Free","100 gm / Pack Of 1",6,7,693,0,114.138,4
"Sara's Wholesome Grain-Free Dog Food Combo - 2x100 gm",,6,6,1288.71,-99.17,209.766,4
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 14",6,6,7110.18,-374.22,1121.603,2
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","300 g / Pack Of 1",5,5,1450.15,-44.85,290.03,2
"Sara's Wholesome Food Chicken Biryani - Flavours of India","100 gm / Pack of 1",5,5,586.95,-58.05,117.39,3
"Sara's Wholesome Classic Chicken & Brown Rice and Grain-Free Turkey Combo Dog Food - 2x100 gm",,5,5,975.09,-50.91,191.63,1
"Sara's Wholesome Grain-Free Dog Food Combo - 2x300 gm",,2,4,2767.02,-33.78,1383.51,0
"Sara's Wholesome Grain-Free Chicken and Turkey Dog Food – All Natural, Ready to Eat Meals for Dogs – Human-Grade, Preservative-Free","100 g / Pack Of 5",4,4,2267.18,-183.82,566.795,1
"Sara's Wholesome Grain-Free Chicken & Veggies Dog Food for Dogs – Human-Grade, Preservative-Free – 300 gm","Pack Of 1",4,4,1316,0,329,3
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 1",4,4,459.89,-33.95,111,1
"Sara's Wholesome Food Chicken Biryani - Flavours of India","100 g / Pack of 5",4,4,2320.85,-130.15,567.565,2
"Sara's Wholesome Hypoallergenic Duck & Quinoa Wet Food for Dogs – Human-Grade, Gluten-Free – 300 g","Pack Of 1",4,4,1536.55,0,370.045,1
"Sara's Wholesome Grain-Free Lamb and Apple Dog Food – All Natural, Ready to Eat Meals for Dogs – Human-Grade, Preservative-Free","100 g / Pack Of 21",3,3,6642.82,-232.73,1981.233,1
"Sara's Wholesome Flavours of India Vegetable Biryani Wet Dog Food – 300 gm, 100% Vegetarian, Human-Grade Ingredients – Preservative-Free, Farm-Fresh","Pack Of 1",3,3,852.15,-44.85,284.05,1
"Sara's Wholesome Food Mutton Biryani for Dogs – Flavours of India – Human-Grade","300 g / Pack of 1",3,3,908.89,-78.11,302.963,0
"Sara's Wholesome Food Mutton Biryani for Dogs – Flavours of India – Human-Grade - 300 gm","Pack of 1",3,3,987,0,329,1
"Sara's Wholesome Grain-Free Lamb and Apple Dog Food – All Natural, Ready to Eat Meals for Dogs – Human-Grade, Preservative-Free","100 g / Pack Of 5",3,3,1718.25,-120,555.886,1
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 7",3,3,2474.22,0,824.74,0
"Sara's Wholesome Food: All-in-One - 6x300 gm",,2,2,3302.67,-358.53,1651.335,1
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","300 gm / Pack of 1",2,2,508.3,-89.7,254.15,1
"Sara's Wholesome Food Chicken Biryani - Flavours of India","100 gm / Pack of 5",2,2,1041.68,-183.82,520.84,2
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","300 g / Pack Of 7",2,2,3809.26,0,1904.63,0
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 21",2,2,4648.65,-119.19,2324.325,0
"Sara's Wholesome Grain-Free Lamb and Apple Dog Food – All Natural, Ready to Eat Meals for Dogs – Human-Grade, Preservative-Free","100 g / Pack Of 10",2,2,2147.85,-159.77,1033.185,1
"Sara's Wholesome Classic Paneer & Veggies Dog Food - 300 gm","Pack Of 7",2,2,3851.12,0,1925.56,0
"Sara's Wholesome Food Mutton Biryani - Flavours of India - 300 g","Pack of 1",1,2,625.1,0,625.1,0
"Sara's Wholesome Food Mutton Biryani - Flavours of India - 300 g","Pack of 7",2,2,4237.52,0,2118.76,0
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 7",2,2,1503.5,-121.9,751.75,0
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 7",2,2,3562.29,-288.83,1781.145,0
"Sara's Wholesome Food Mutton Biryani for Dogs – Flavours of India, 300 g – Human-Grade","Pack of 1",2,2,592.27,-65.73,296.135,0
"Sara's Wholesome Classic Paneer & Veggies Dog Food - 300 gm","Pack Of 1",1,2,568.1,0,568.1,1
"Sara's Wholesome Classic Range Dog Food Combo - 2x300 gm",,1,2,1076.4,0,1076.4,1
"Sara's Wholesome Grain-Free Chicken and Turkey Dog Food – All Natural, Ready to Eat Meals for Dogs – Human-Grade, Preservative-Free","300 g / Pack Of 1",2,2,758.55,-19.45,379.275,0
"Sara's Wholesome Grain-Free Chicken & Veggies Dog Food for Dogs – Human-Grade, Preservative-Free","100 gm / Pack Of 1",1,2,258,0,236.7,0
"Sara's Wholesome Classic Paneer & Veggies Ready-to-Eat Vegetarian Dog Food – Human-Grade, Preservative-Free – 300 gm","Pack Of 7",1,1,1636.73,-288.83,1636.73,0
"Sara's Wholesome Chicken & Brown Rice Puppy Food – 100 gm | Human Grade, All-Natural, Preservative-Free, Ready-to-Eat Meal for Puppies (4 Weeks & Above)","Pack Of 14",1,1,1247.4,0,1247.4,0
"Sara's Wholesome Flavours of India Vegetable Biryani Wet Dog Food, 100% Vegetarian, Human-Grade Ingredients – Preservative-Free, Farm-Fresh","100 gm / Pack Of 10",1,1,891,0,891,0
"Sara's Wholesome Food Mutton Biryani for Dogs – Flavours of India – Human-Grade","300 g / Pack of 10",1,1,2961,0,2961,0
"Sara's Wholesome Classic Paneer & Veggies Ready-to-Eat Vegetarian Dog Food – Human-Grade, Preservative-Free","300 gm / Pack Of 1",1,1,299,0,299,1
