"Product title at time of sale","Product variant title at time of sale","Orders","Net items sold","Total sales","Discounts","Average order value","New customers"
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 1",163,267,25352.48,-31.12,153.503,125
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 1",92,108,13583.7,0,144.625,69
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 1",43,47,4549.05,0,105.087,33
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 1",25,42,5327.7,0,210.68,14
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 1",22,25,7385.3,0,333.622,14
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 2",22,25,6400.68,-49.32,290.94,13
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 7",24,24,15384.01,-62.96,641,9
"Sara's Wholesome Classic Paneer & Veggies Dog Food - 300 gm","Pack Of 1",22,23,6750.97,-21.38,300.642,14
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","300 g / Pack Of 1",22,23,6607.9,0,298.227,12
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 21",20,21,37305.61,-1114.31,1851.326,4
"Sara's Wholesome Food Mutton Biryani - Flavours of India - 300 g","Pack of 1",19,21,6732,-28.95,345.358,13
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 2",9,13,3354,0,365.926,5
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 2",10,11,2178,0,214.53,8
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 8",11,11,8211.96,-64.44,735.247,2
"Sara's Wholesome Biryani Dog Food - Flavours of India - (2 x 300 g)",,8,9,5032.77,-54.03,629.096,3
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 2",8,8,1584,0,198,3
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","300 g / Pack Of 1",8,8,2998.29,-32.94,360.081,7
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 14",6,7,11240.55,-232.18,1830.926,0
"Sara's Wholesome Grain-Free Dog Food Combo - 2x100 gm",,7,7,1602.46,-22.94,228.922,3
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","100 g / Pack Of 14",6,7,8477.24,-299.7,1348.545,2
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 7",6,6,5039.84,-25.99,839.973,1
"Sara's Wholesome Hypoallergenic Diet Duck & Quinoa Dog Wet Food - 300 g","Pack Of 1",4,6,2219.01,-37.19,546.722,3
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 4",6,6,2304.72,0,384.12,3
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 2",5,5,2937.39,-52.61,587.478,3
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 14",5,5,6375.6,0,1275.12,1
"Sara's Wholesome Classic Chicken & Brown Rice and Grain-Free Turkey Combo Dog Food - 2x100 gm",,3,4,800.28,-20.52,256.326,2
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 7",4,4,7520.33,-307.49,1806.65,2
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","300 g / Pack Of 1",4,4,1520.1,-32.93,372.737,1
"Sara's Wholesome Flavours Of India Vegetable Biryani Dog Wet Food - 300 gm","Pack Of 1",4,4,1131.86,-16.34,272.867,3
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 14",3,4,6328.23,-232.18,2024.413,0
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 21",3,3,5247.09,-241.47,1749.03,0
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","300 g / Pack Of 2",3,3,2265.56,-68.44,755.186,2
"Sara's Wholesome Food Classic Chicken & Brown Rice and Grain-Free Chicken & Turkey Combo - 2x300 gm",,2,3,1857.6,0,928.8,1
"Sara's Wholesome Grain-Free Dog Food Combo - 2x300 gm",,2,3,2100.6,0,1050.3,0
"Sara's Wholesome Food Mutton Biryani - Flavours of India - 300 g","Pack of 2",3,3,1952.17,-21.83,650.723,1
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food - (7 x 300g)",,3,3,7552.5,0,2517.5,1
"Sara's Wholesome Grain-Free Chicken & Veggies Dog Food - 300 gm","Pack Of 1",3,3,970.55,0,323.516,3
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","300 g / Pack Of 7",3,3,5680.41,-96.27,1893.47,1
"Sara's Wholesome Food Mutton Biryani - Flavours of India - 300 g","Pack of 7",2,2,4091.29,-206.28,1959.835,1
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 7",2,2,1688.61,0,844.305,0
"Sara's Wholesome Flavours Of India Vegetable Biryani Dog Wet Food - 300 gm","Pack Of 2",2,2,1196,0,598,0
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 21",2,2,4767.84,0,2383.92,0
"Sara's Wholesome Food Classic Paneer & Veggies and Grain-Free Lamb & Apple Combo - 2x300 gm",,1,1,619.2,0,619.2,1
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","300 g / Pack Of 7",1,1,2505.16,0,2505.16,1
"Sara's Wholesome Classic Range Dog Food Combo - 2x300 gm",,1,1,538.2,0,538.2,1
"Sara's Wholesome Classic Paneer & Veggies Dog Food - 300 gm","Pack Of 7",1,1,1794.85,-110.77,1521.06,1
"Sara's Wholesome Food: All-in-One - 6x300 gm",,1,1,1830.6,0,1830.6,0
"Sara's Wholesome Classic Chicken And Brown Rice Dog Food","300 g / Pack Of 2",1,1,542.8,-50.64,497.98,1
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 14",1,1,3767.4,0,3767.4,0
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 21",1,1,2383.92,0,2383.92,0
"Sara's Wholesome Food Mutton Biryani - Flavours of India - 300 g","Pack of 21",1,1,6079.92,0,6079.92,0
