source,brand,spend_inr,orders,revenue_inr
Google Platform,Hearty,91200.19,60.760000000000005,166211.02000000002
Google Platform,Meowsi,60839.59,43.33,67414.07
Google Platform,NutriMeow,30428.85,26.41,50405.1
Google Platform,Sara's,236296.86000000002,371.1,839573.69
Google Platform,Treats Portfolio,375706.98,578.67,964654.2
Google Platform,Yakies,0.0,0.0,0.0
Google Shopify,Hearty,,64.0,164949.87
Google Shopify,Meowsi,,20.0,21376.97
Google Shopify,NutriMeow,,33.0,64071.29
Google Shopify,Sara's,,380.0,802433.23
Google Shopify,Treats Portfolio,,582.0,928660.67
Meta Platform,Hearty,498612.79000000004,847.0,3474559.3118683603
Meta Platform,Meowsi,297693.48,0.0,1378281.81455412
Meta Platform,NutriMeow,60645.51,92.0,170076.81535542
Meta Platform,Sara's,49535.62,70.0,114409.74659052
Meta Platform,Treats Portfolio,442062.01999999996,1026.0,2174306.98118864
Meta Platform,YIMT,167681.44,220.0,127747.09897536
Meta Platform,Yakies,216278.12,721.0,264711.65847092
Meta Platform,Yum Num,0.0,0.0,0.0
Meta Shopify,Hearty,,191.0,267226.85
Meta Shopify,Meowsi,,209.0,88018.33
Meta Shopify,NutriMeow,,28.0,13553.289999999999
Meta Shopify,Sara's,,31.0,18202.64
Meta Shopify,Treats Portfolio,,124.0,110227.6
Meta Shopify,YIMT,,188.0,96681.33
Meta Shopify,Yakies,,667.0,228477.76
