month_start,campaign_name,attribution_setting,paid_spend,orders_platform,cpa_platform,revenue_paid_attribution,revenue_shopify_attribution,roas_paid_attribution,roas_shopify_attribution,revenue_gap_paid_vs_shopify,roas_paid_over_shopify
2025-12,DTC_SWF_IndiaDogProducts,7-day click or 1-day view,473367.26,935,506.27514438502675,2207305.8,,4.662987888093485,,,
2025-12,DTC_SWF_Conv_478cities,7-day click or 1-day view,360907.53,460,784.5815869565218,908622.19,,2.517603858251447,,,
2025-12,DTC_SWF_Conv_TopSWFCities,7-day click or 1-day view,282431.54,328,861.0717682926829,653626.55,,2.3142831356582914,,,
2025-12,DTC_SWF_IG-LA2,"7-day click, 1-day view or 1-day engaged view",168346.73,292,576.529897260274,760359.39,,4.516627023286998,,,
2025-12,DTC_SWF_Metros_BrandFilm,"7-day click, 1-day view or 1-day engaged view",107802.46,239,451.05631799163183,597852.82,,5.545817971129786,,,
2025-12,DTC_SWF_Punjab,"7-day click, 1-day view or 1-day engaged view",16796.05,5,3359.21,9332.96,,0.5556639805192292,,,
2026-01,DTC_SWF_IndiaDogProducts,7-day click or 1-day view,231338.04,540,428.4037777777778,1213028.82,,5.2435337482759,,,
2026-01,DTC_SWF_Metros_BrandFilm,"7-day click, 1-day view or 1-day engaged view",161010.82,564,285.48017730496457,1274038.52,,7.912750956736945,,,
2026-01,DTC_SWF_Conv_478cities,7-day click or 1-day view,158350.85,365,433.83794520547946,870749.92,,5.498864830848714,,,
2026-01,DTC_SWF_IG-LA2,"7-day click, 1-day view or 1-day engaged view",138605.06,287,482.9444599303136,567394.82,,4.093608270866879,,,
2026-01,DTC_SWF_Conv_TopSWFCities,7-day click or 1-day view,86691.07,125,693.5285600000001,194156.72,,2.2396392154347615,,,
2026-02,DTC_SWF_Metros_BrandFilm,"7-day click, 1-day view or 1-day engaged view",194227.73,612,317.36557189542486,1397801.8,,7.196715937523442,,,
2026-02,DTC_SWF_IndiaDogProducts,7-day click or 1-day view,183607.9,397,462.4884130982368,895915.63,,4.879504803442553,,,
2026-02,DTC_SWF_Conv_478cities,7-day click or 1-day view,150695.35,249,605.2022088353414,462058.85,,3.0661785516275053,,,
2026-02,DTC_SWF_IG-LA2,"7-day click, 1-day view or 1-day engaged view",131925.91,238,554.3105462184874,439079.41,,3.328227260285716,,,
2026-02,DTC_SWF_Conv_TopSWFCities,7-day click or 1-day view,118836.68,159,747.4005031446541,280147.42,,2.357415404065479,,,
