month_start,platform,source,campaign_name,mapped_brand,attribution_setting,spend
2025-12,google,google_ads_campaigns_monthly,Pmax_Dog_Food_Sara's_Wholesome_Food_SWF,Sara's,,171166.65
2025-12,google,google_ads_campaigns_monthly,Pmax_Dog_Treat_Sara's_and_HUFT treat,Treats Portfolio,,154010.29
2025-12,google,google_ads_campaigns_monthly,Pmax_Sara's_wholesome_New_Customer,Sara's,,142210.33
2025-12,google,google_ads_campaigns_monthly,PMax_Cat_Food_Meowsi,Meowsi,,104666.79
2025-12,google,google_ads_campaigns_monthly,Search_Dog_HUFT Treats_And_Sara's,Treats Portfolio,,98168.59
2025-12,google,google_ads_campaigns_monthly,Search_Dog_Food_Sara_Wholesome_Food,Sara's,,95121.65
2025-12,google,google_ads_campaigns_monthly,Search_Dog_Food_Hearty,Hearty,,84574.16
2025-12,google,google_ads_campaigns_monthly,Pmax_Nutrimeow_Cat_food,NutriMeow,,73525.5
2025-12,google,google_ads_campaigns_monthly,Pmax_Dog_Treats_Other,Treats Portfolio,,59260.21
2025-12,google,google_ads_campaigns_monthly,PMax_HUFT treats_Biscuits,Treats Portfolio,,50632.26
2025-12,google,google_ads_campaigns_monthly,Search_Cat_Food_Treat_Meowsi,Treats Portfolio,,41949.64
2025-12,google,google_ads_campaigns_monthly,Search_Dog_HUFT treats_Biscuits,Treats Portfolio,,34771.69
2025-12,google,google_ads_campaigns_monthly,Pmax_Hearty_Dog_Food,Hearty,,30398.06
2025-12,google,google_ads_campaigns_monthly,Pmax_Cat_Treats_Other,Treats Portfolio,,29806.73
2025-12,meta,meta_d2c_adset_monthly,DTC_SWF_IndiaDogProducts,Sara's,7-day click or 1-day view,473367.26
2025-12,meta,meta_d2c_adset_monthly,DTC_SWF_Conv_478cities,Sara's,7-day click or 1-day view,360907.53
2025-12,meta,meta_d2c_adset_monthly,DTC_SWF_Conv_TopSWFCities,Sara's,7-day click or 1-day view,282431.54
2025-12,meta,meta_d2c_adset_monthly,DTC_SWF_IG-LA2,Sara's,"7-day click, 1-day view or 1-day engaged view",168346.73
2025-12,meta,meta_d2c_adset_monthly,DTC_SWF_Metros_BrandFilm,Sara's,"7-day click, 1-day view or 1-day engaged view",107802.46
2025-12,meta,meta_d2c_adset_monthly,DTC_SWF_Punjab,Sara's,"7-day click, 1-day view or 1-day engaged view",16796.05
