month_start,brand,channel,metric_name,metric_value,attribution_layer,source_table
2025-12,saras,google,branded_search_volume,3250.0,blended,brand_search_google_raw
2025-12,saras,meta,impressions,16193131.0,platform,meta_d2c_adset_monthly
2025-12,saras,meta,new_customers,232.0,shopify,meta_shopify_sales_monthly
2025-12,saras,meta,reach,6339382.0,platform,meta_d2c_adset_monthly
2025-12,saras,meta,spend,1409651.57,platform,meta_d2c_adset_monthly
2025-12,saras,shopify_d2c,d2c_new_customers,7735.0,shopify,shopify_new_vs_returning_daily
2025-12,saras,shopify_d2c,d2c_repeat_customers,17647.0,shopify,shopify_new_vs_returning_daily
2026-01,saras,google,branded_search_volume,3230.0,blended,brand_search_google_raw
2026-01,saras,meta,impressions,11100465.0,platform,meta_d2c_adset_monthly
2026-01,saras,meta,new_customers,137.0,shopify,meta_shopify_sales_monthly
2026-01,saras,meta,reach,4023140.0,platform,meta_d2c_adset_monthly
2026-01,saras,meta,spend,775995.8400000001,platform,meta_d2c_adset_monthly
2026-01,saras,shopify_d2c,d2c_new_customers,6165.0,shopify,shopify_new_vs_returning_daily
2026-01,saras,shopify_d2c,d2c_repeat_customers,15846.0,shopify,shopify_new_vs_returning_daily
2026-02,saras,google,branded_search_volume,,blended,brand_search_google_raw
2026-02,saras,meta,impressions,11946131.0,platform,meta_d2c_adset_monthly
2026-02,saras,meta,new_customers,209.0,shopify,meta_shopify_sales_monthly
2026-02,saras,meta,reach,3865727.0,platform,meta_d2c_adset_monthly
2026-02,saras,meta,spend,779293.5700000001,platform,meta_d2c_adset_monthly
2026-02,saras,shopify_d2c,d2c_new_customers,4442.0,shopify,shopify_new_vs_returning_daily
2026-02,saras,shopify_d2c,d2c_repeat_customers,12325.0,shopify,shopify_new_vs_returning_daily
