Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimization score,Campaign type,Currency code,TrueView avg. CPV,Avg. CPM,Interactions,Interaction rate,Avg. cost,Cost,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Revenue,CTR,Avg. CPC,Campaign ID,All conv.,Unique users,Engagements,Target ROAS,TrueView views,TrueView view rate (In-stream),TrueView view rate (In-feed),TrueView view rate (Shorts),Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,ROAS,Impr.,Clicks,Earned views,Viewable rate,Orders,Purchase value,Conv. rate,Bid strategy type,Viewable CTR,Avg. viewable CPM,Viewable impr.,Participated in-app actions,Conv. value,Conv. value / cost,Conversions,Cost / Participated in-app action,Cost / conv.,Original conv. value,month_start,source_file
Paused,YT-Boost_LearnWithHUFT_June23,5000.00, --,Campaign Total,Paused,campaign paused; campaign ended; unknown, --,Video,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,17558006379,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximum CPV, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,KS_Brand_Video_6_Sec_Other_Audience,100000.00, --,Campaign Total,Paused,campaign paused; campaign ended; most ads disapproved, --,Video,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,19653546461,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Target CPM, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,LD_Search-RLSA_Dog_Food_Generic_Phrase_India,20000.01, --,Daily,Paused,campaign paused; unknown, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,15703594227,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,CPC (enhanced), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,Local_Store_Indiranagar_Bangalore_KA,300.00, --,Daily,Paused,campaign paused, --,Smart,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,18140770683,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,LD_Pmax_Dog_Food,3500.00, --,Daily,Paused,campaign paused; unknown, --,Performance Max,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,15504438714,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversion Value, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,Demand_Gen_Sara's_Wholesome_Brand,2000.00, --,Daily,Paused,campaign paused; unknown, --,Demand Gen,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,22740024126,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversions, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,Brand-Video-Cat-Awareness,70000.00, --,Campaign Total,Paused,campaign paused; campaign ended; unknown, --,Video,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,17072789915,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Target CPM, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,12345,200.00, --,Daily,Paused,campaign paused, --,Display,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,831189014,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,CPC (enhanced), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,SWF_Standard_Shopping,1500.00, --,Daily,Paused,campaign paused; unknown, --,Shopping,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,22175885997,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,[S[Food]:Royal-Cannin_Misspells,300.00, --,Daily,Paused,campaign paused; most ads disapproved, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,826331432,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,CPC (enhanced), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,LD_Search_Mix_Food_Generic_Exact_India,4000.00, --,Daily,Paused,campaign paused; unknown, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,16107852167,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Manual CPC, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,LD_Search_Cat_Food_Orijen_Phrase_India,1900.00, --,Daily,Paused,campaign paused; unknown, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,16548862254,0.00,,0,300%,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversion Value (Target ROAS), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,Orijen Retargeting,300.00, --,Daily,Paused,campaign paused; unknown, --,Display,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,1370404451,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,CPC (enhanced), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,Discovery-Food-Campaign,2.00, --,Daily,Paused,campaign paused; unknown, --,Demand Gen,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,18796338678,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversions, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,Same Day- Delivery -Saket,300.00, --,Daily,Paused,campaign paused, --,Smart,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,9612775808,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,PMax: LD_Google_Shopping_Winter_Collection,7000.23, --,Daily,Paused,campaign paused; unknown, --,Performance Max,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,17689853665,0.00,,0,350.16%,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversion Value (Target ROAS), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,Local_Store_Madhapur_Hyderabad_TS,300.00, --,Daily,Paused,campaign paused, --,Smart,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,17966524280,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Enabled,Pmax_Dog_Treat_Sara's_and_HUFT treat,16000.00, --,Daily,Eligible,unknown,96.91,Performance Max,INR,0.84,225.88,"49,387",7.24%,3.12,154010.29,0.0,0,0.0,263371.93,1.49%,15.11,21190022366,"60,312.17",,"39,876",200%,"33,538",40.71%,0.22%,3.04%, --, --, --, --,0.39,"681,824","10,192",0, --,231.81,0.0,0.93%,Maximize Conversion Value (Target ROAS), --,0.0,0,132.0,"806,293.23",5.24,460.53,1166.74,334.42,"751,098.52",2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,YT_Wag_away_Boost,10000.00, --,Campaign Total,Paused,campaign paused; campaign ended; unknown, --,Video,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,19793517052,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Target CPM, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,Winter-Collection-Youtube-ads-Website-Audience-yt,20000.00, --,Campaign Total,Paused,campaign paused; campaign ended; unknown, --,Video,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,18564382717,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Target CPM, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,Sales-Search-Wild-Earth-Select,800.00, --,Daily,Paused,campaign paused, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,12881027025,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversion Value, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,Sales-Search-KONG-Toys-Pets,500.00, --,Daily,Paused,campaign paused, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,12118507105,0.00,,0,1300%,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversion Value (Target ROAS), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,Search_Local Ads_ Store promotion_Jamshedpur,1000.00, --,Daily,Paused,campaign paused; unknown, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,22969539491,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversion Value, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,Sales-Display-Diwali,800.00, --,Daily,Paused,campaign paused; most ads limited by policy, --,Display,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,11606597467,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversions, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
Paused,LD_Search-DSA_Dog_Bed_India,1500.27, --,Daily,Paused,campaign paused; unknown, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,15683816631,0.00,,0,320%,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversion Value (Target ROAS), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2025-12,dashboard_data/Google Dashboard /Google Dashboard_ Dec 2025.csv
