New or returning customer,Day,Customers,Orders,Total sales,Day (previous_period),Customers (previous_period),Orders (previous_period),Total sales (previous_period),Customers (previous_period) ,Orders (previous_period) ,Total sales (previous_period) ,month_start,source_file
New,2025-12-01,265,265,437084.11,2025-09-02,170,170,307328.19,55.88235294117647,55.88235294117647,42.22,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
Returning,2025-12-01,647,674,1804462.62,2025-09-02,488,512,1386904.04,32.58196721311475,31.640625,30.107,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
New,2025-12-02,268,268,464059.83,2025-09-03,223,223,305697.65,20.179372197309416,20.179372197309416,51.803,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
Returning,2025-12-02,670,693,1958874.1,2025-09-03,522,541,1353480.76,28.35249042145594,28.09611829944547,44.728,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
New,2025-12-03,250,250,427674.16,2025-09-04,381,381,587856.78,-34.38320209973753,-34.38320209973753,-27.248,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
Returning,2025-12-03,615,643,1742264.43,2025-09-04,732,761,2080450.92,-15.98360655737705,-15.505913272010512,-16.255,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
Returning,2025-12-04,605,630,1681601.74,2025-09-05,686,721,1764097.3,-11.807580174927114,-12.62135922330097,-4.676,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
New,2025-12-04,237,237,376659.2,2025-09-05,369,369,537541.9,-35.77235772357724,-35.77235772357724,-29.929,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
Returning,2025-12-05,552,572,1579928.68,2025-09-06,686,720,1770723.29,-19.533527696793,-20.555555555555557,-10.774,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
New,2025-12-05,239,239,373748.14,2025-09-06,384,384,570354.95,-37.760416666666664,-37.760416666666664,-34.47,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
Returning,2025-12-06,547,578,1656756.81,2025-09-07,727,756,1839976.99,-24.759284731774414,-23.544973544973544,-9.957,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
New,2025-12-06,216,216,364827.81,2025-09-07,405,405,666753.42,-46.666666666666664,-46.666666666666664,-45.282,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
New,2025-12-07,201,201,324591.49,2025-09-08,417,417,665802.56,-51.798561151079134,-51.798561151079134,-51.248,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
Returning,2025-12-07,592,611,1651101.23,2025-09-08,716,758,1812215.15,-17.318435754189945,-19.393139841688654,-8.89,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
New,2025-12-08,248,248,390640.39,2025-09-09,232,232,366818.39,6.896551724137931,6.896551724137931,6.494,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
Returning,2025-12-08,595,612,1548805.06,2025-09-09,495,521,1321082.12,20.2020202020202,17.46641074856046,17.237,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
New,2025-12-09,248,248,427315.75,2025-09-10,182,182,260000.32,36.26373626373626,36.26373626373626,64.352,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
Returning,2025-12-09,607,637,1653127.59,2025-09-10,441,461,1153252.85,37.641723356009074,38.17787418655097,43.344,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
New,2025-12-10,215,215,380679.77,2025-09-11,188,188,254489.39,14.361702127659576,14.361702127659576,49.585,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
Returning,2025-12-10,590,617,1694883.13,2025-09-11,442,462,1308297.78,33.484162895927604,33.54978354978355,29.548,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
Returning,2025-12-11,538,564,1403250.08,2025-09-12,392,403,1005541.33,37.244897959183675,39.950372208436725,39.551,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
New,2025-12-11,229,229,490196.94,2025-09-12,205,205,312487.09,11.707317073170731,11.707317073170731,56.869,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
Returning,2025-12-12,595,614,1616205.05,2025-09-13,360,371,945525.18,65.27777777777777,65.49865229110512,70.931,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
New,2025-12-12,230,230,371071.52,2025-09-13,198,198,308269.89,16.161616161616163,16.161616161616163,20.372,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
Returning,2025-12-13,552,570,1463440.09,2025-09-14,444,467,1117718.04,24.324324324324323,22.05567451820129,30.931,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
New,2025-12-13,242,242,420728.02,2025-09-14,195,195,314220.77,24.102564102564106,24.102564102564106,33.895,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
Returning,2025-12-14,533,554,1378388.58,2025-09-15,427,441,1149482.08,24.824355971896956,25.62358276643991,19.913,2025-12,dashboard_data/New vs returning_Dec2025-Feb2026_Shopify.csv
