"Order UTM medium","Order UTM campaign","Orders","Total sales","Gross sales","Net sales","Average order value","Orders (previous_month)","Total sales (previous_month)","Gross sales (previous_month)","Net sales (previous_month)","Average order value (previous_month)","Orders (previous_month) ","Total sales (previous_month) ","Gross sales (previous_month) ","Net sales (previous_month) ","Average order value (previous_month) "
"Search","Search_Exact_BrandCore",1789,4069375.84,4058729.95,3956654.37,2211.656,1571,3973577.34,3960142.45,3851898.48,2451.876,13.876511775938893,2.41,2.489,2.719,-9.797
"Shopping","Shopping_Catch_All",1701,3137351.45,3118575.45,3040989.36,1787.765,1932,3568079.33,3562427.22,3460312.24,1791.051,-11.956521739130435,-12.071,-12.459,-12.118,-0.183
,"Pmax_EOSS_Jan_2026",421,847210.85,841161.24,822375.1,1953.385,0,0,0,0,,,,,,
,"Pmax_Sara's_New_Customer",281,618286.97,613410.46,598893.64,2131.294,355,818572.64,822959.2,799672.26,2252.597,-20.845070422535212,-24.467,-25.462,-25.107,-5.385
"Pmax","Pmax_Dog_Food_Other_Acana",144,419528.41,421340.05,409699.22,2845.133,127,293598.81,291774.04,284111.3,2237.096,13.385826771653543,42.891,44.406,44.203,27.179
"Pmax","Pmax_Dog_Food_Cat_Food_Other_Orijen",176,398724.1,394356.8,385058.64,2187.833,159,365280.78,363803.42,354045.36,2226.7,10.69182389937107,9.155,8.398,8.759,-1.745
"PMax","PMax_Dog_Food_Other_Brands",96,270691.46,269659.64,264587.84,2756.123,73,215017.15,216798.49,211245.6,2893.775,31.506849315068493,25.892,24.382,25.251,-4.756
"Search","Search_Dog_Treats_HUFT_And_Sara's",147,257753.7,255970.09,249977.02,1700.523,123,227352.07,224893.04,219187.81,1782.014,19.51219512195122,13.372,13.818,14.046,-4.572
"PMax","PMax_Dog_Food_Cat_Food_Other_Royal_Canin",83,235628.61,238450.93,232944.31,2806.557,101,264264.23,266736.14,258159.1,2556.03,-17.821782178217823,-10.835,-10.604,-9.767,9.801
"PMax","Pmax_Dog_Treat_Sara's_and_HUFT",207,216915.28,212373.64,207089.56,1000.432,212,224116.3,218916.15,212944.55,1004.455,-2.358490566037736,-3.213,-2.988,-2.749,-0.4
