"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (INR)",Ends,Impressions,"CPM (cost per 1,000 impressions) (INR)","Link clicks","CPC (cost per link click) (INR)","CTR (link click-through rate)","CTR (all)","CPC (all) (INR)","Clicks (all)","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on advertising spend)","In-app purchase ROAS (return on ad spend)"
2026-01-01,2026-01-31,DTC_SWF_Conv,active,"Multiple attribution settings",,,3598417,3.084819,,"Using ad set budget",0,775995.84,Ongoing,11100465,69.906607,59372,13.070064,0.53486,1.14015,6.131349,126562,5.32084,4.152152,1.168689
2026-01-01,2026-01-31,DTC_HeartyASC_Conv,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_DDWalkGear_Conv_Manual,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_RetargetingCampaignASC_Conv Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_Bed&MatOld _Manual",active,"7-day click",206,actions:offsite_conversion.fb_pixel_purchase,122282,2.377439,512.24781553,"Using ad set budget",0,105523.05,Ongoing,290718,362.973913,5787,18.2345,1.990589,2.3982,15.135262,6972,4.510255,4.510255,
2026-01-01,2026-01-31,DTC_GiftOfJoy_Manual,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Yakies_Manual,active,"7-day click",721,actions:offsite_conversion.fb_pixel_purchase,1990713,3.075171,299.96965326,"Using ad set budget",0,216278.12,Ongoing,6121782,35.329275,22221,9.733051,0.362983,0.528915,6.67958,32379,1.223941,1.223941,
2026-01-01,2026-01-31,"DTC_Winter'24ASC_Conv Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_SaraTreats_ASC_Conv Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Meowsi_LeadGen,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Meowsi_Conv,active,"Multiple attribution settings",,,2201351,2.752841,,"Using ad set budget",0,297693.48,Ongoing,6059970,49.12458,33025,9.014186,0.54497,0.873255,5.625456,52919,4.629869,2.562272,2.067596
2026-01-01,2026-01-31,DTC_Remarketing_catalog_PV,active,"7-day click",225,actions:purchase,51151,8.82145,449.05706667,9500,Daily,101037.84,Ongoing,451226,223.91848,6343,15.92903,1.405726,1.531383,14.621974,6910,5.722675,4.432983,1.289692
2026-01-01,2026-01-31,DTC_Raincoats_Conv,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_YumNums_COnv_Jun25,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_SWF_ASC_Oct04,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_HUFTAppDL_Offer,inactive,"1-day click or 1-day view",6124,actions:mobile_app_install,1176151,3.731869,13.8467015,"Using ad set budget",0,84797.2,Ongoing,4389241,19.319331,20217,4.194351,0.460604,0.514781,3.752919,22595,,,
