"Order UTM campaign","Order UTM content","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales"
"DTC_Yakies_Manual","DTC_Yakies_Video_YakiesCompilation_Oct28",497,161157.93,-10730.45,0,150427.48,22344,0,0,2137.06,174908.54
"DTC_Yakies_Manual","DTC_Yakies_Video_IndustrialGlues_Jan14",154,40872.14,-943.34,0,39928.8,7203,0,0,739.62,47871.42
"Social_Bio","Social_IG_sales",151,274283.26,-8677.6,0,265605.66,1470,0,0,7610.22,274685.88
"DTC_Meowsi_Conv","DTC_Meowsi_Video_WinterPoblems_Dec11",137,35732.13,-116.37,0,35615.76,6174,0,0,1209.4,42999.16
"DTC_YIMT_Conv_PP","DTC_YIMT_Video_PumpkinMeetsCarrot_Nov19",106,54593.05,-3948.17,0,50644.88,4508,0,0,1113.87,56266.75
"DTC_Winter'25_Conv","DTC_Winter;25_Static_Winterwear_Jan05",100,178364.51,-8237.75,0,170126.76,539,0,0,8788.33,179454.09
"DTC_HUFT_OutletSale","DTC_HUFTOutletSale_Catalogue_Oct08",99,84003.97,-3473.03,0,80530.94,2695,0,0,1721.87,84947.81
"DTC_CLH_Conv_06Aug","DTC_CLH_EOSS_Jan05",95,141510.75,-6396.78,0,135113.97,882,0,0,4320.26,140316.23
"DTC_Bed&MatOld _Manual","DTC_Beds&Mats_Video_EOSS_Jan05",87,192329.28,-10361.33,0,181967.95,294,0,0,6650.5,188912.45
"DTC_Winter'25_Conv","DTC_Winter'25_Static_EOSS_Jackets_Jan05",70,117713.84,-6080.94,0,111632.9,343,0,0,5717.8,117693.7
"DTC_Hearty_Conv_Manual","DTC_HeartyK_Video_DogFoodChupanaKyu_Dec31",64,78471.64,-2134.26,0,76337.38,1519,0,0,2321.31,80177.69
"DTC_Sara.Treats_Conv_May'24","DTC_HUFTTreats_Video_WorldOfHUFTTreats_Jan12",60,48883.54,-1395.28,0,47488.26,1421,0,0,1297.82,50207.08
"DTC_Remarketing_catalog_PV","DTC_Retargeting_CustomCatalogue_PV30_Apr24",58,100263.31,-2467.25,0,97796.06,686,0,0,2454.16,100936.22
"DTC_SWF_Conv","DTC_SWF_Video_BestDogFood_Dec09",55,25252.51,-704.78,0,24547.73,2352,0,0,199.62,27099.35
"DTC_YIMT_Conv_PP","DTC_YIMT_Video_Testimonials_Jan14",52,22055.99,-1431.12,0,20624.87,2156,0,0,759.31,23540.18
"DTC_SWF_Conv","DTC_SWF_winter_issues_rashi_Dec23_AM",51,58822.99,-2237.13,0,56585.86,882,0,0,544.84,58012.7
"DTC_HUFTGourmetToys_Conv","DTC_HUFTToys_Static_EOSS_Jan05",51,102607.67,-5065.28,0,97542.39,490,0,0,1955.95,99988.34
"{{campaign.name}}","{{ad.name}}",48,21911.47,-1304.74,0,20606.73,1862,0,0,721.15,23189.88
"DTC_Winter'25_Conv","DTC_Winter;25_Static_Sweaters_Jan09",41,57122.74,-2572.73,0,54550.01,49,0,0,1695.3,56294.31
"DTC_Meowsi_Conv","DTC_Meowsi_Video_RealMeat&SeaFood_Nov17",39,18034.59,-751.88,0,17282.71,1568,0,0,456.73,19307.44
"DTC_Hearty_Conv_Manual","DTC_HeartyK_Video_SamPoppins_Nov13",37,46907.65,-2275.76,0,44631.89,784,0,0,1723.98,47139.87
"DTC_Winter'25_Conv","DTC_Winter'25_Static_Sweatshirts_Jan05",36,45964.09,-2202.7,0,43761.39,343,0,0,3255.35,47359.74
"DTC_SWF_Conv","DTC_SWF_Video_ReviewThatMatters_Dec26",35,39204.15,-2273.48,0,36930.67,735,0,0,240.72,37906.39
"DTC_Hearty_3PAud_Sales","DTC_Hearty_Video_50KPetParents_Dec29",35,42247.13,-1507.98,0,40739.15,833,0,0,519.8,42091.95
"DTC_Sara.Treats_Conv_May'24","DTC_Sara.Treat_Catalogue_May05",32,35947.19,-415.18,0,35532.01,931,0,0,1280.89,37743.9
"DTC_YIMT_Conv_PP","DTC_YIMT_Video-GotMyEyesOnThePrice_Dec08",30,15947.85,-560.66,0,15387.19,1078,0,0,409.21,16874.4
"DTC_SWF_Conv","DTC_SWF_Video_Rs.99FtRashi_Jan16",30,19720.95,-670.91,0,19050.04,1127,0,0,1135.36,21312.4
"Social_Bio","IG_sales_bio",29,26230.76,-877.03,0,25353.73,784,0,0,390.38,26528.11
"DTC_Sara_Conv_PP_Jun23 Campaign","DTC_SaraBoosters_Video_Bone&Supplements_Dec5",29,15837.78,-707.02,0,15130.76,1225,0,0,301.88,16657.64
"DTC_NutriMeow_Conv","DTC_NutriMeow_Video_Cat'sStool_Dec30",26,11340.73,-458.25,0,10882.48,882,0,0,289.07,12053.55
"DTC_Winter'25_Conv","DTC_Winter'25_Static_BlueSweater_Oct15",20,30465.17,-3030.91,0,27434.26,98,0,0,293.99,27826.25
